Repository,Company Name,Company URL,Description,Job Page,Tags,Language
plausible/analytics,Plausible Analytics,https://plausible.io,"Simple, privacy-friendly alternative to Google Analytics.",https://plausible.io/jobs/product-engineer,"analytics, privacy, google-analytics-alternative, web-analytics, gdpr",Elixir
prisma/prisma,Prisma,https://www.prisma.io,Next-generation ORM for Node.js & TypeScript. Works with PostgreSQL and other databases.,https://www.prisma.io/careers,"orm, database, typescript, nodejs, developer-tools",TypeScript
RocketChat/Rocket.Chat,Rocket.Chat,https://www.rocket.chat,Open-source team communication platform. Slack and Microsoft Teams alternative.,https://www.rocket.chat/jobs,"chat, communication, team-collaboration, slack-alternative, messaging",TypeScript
weaviate/weaviate,Weaviate,https://wellfound.com/company/weaviate,Open-source vector database that stores both objects and vectors for AI-native applications.,https://wellfound.com/company/weaviate/jobs,"vector-database, machine-learning, ai, semantic-search",Go
qdrant/qdrant,Qdrant,https://join.com/companies/qdrant,High-performance vector search engine and database for the next generation of AI applications.,https://join.com/companies/qdrant,"vector-search, vector-database, similarity-search, rust, machine-learning",Rust
infisical/infisical,Infisical,https://infisical.com,"Open-source platform for secrets, certificates, and privileged access management.",https://infisical.com/careers,"secrets-management, security, devops, developer-tools",TypeScript
novuhq/novu,Novu,https://handbook.novu.co,Open-source notification infrastructure for developers. Email and multi-channel notifications.,https://handbook.novu.co/careers-page,"notifications, infrastructure, email, sms, developer-tools",TypeScript
vercel/next.js,Vercel,https://vercel.com,The React Framework for production. Used by Vercel's platform.,https://vercel.com/careers,"react, nextjs, web-framework, frontend, serverless",TypeScript
hashicorp/terraform,,,Infrastructure as Code tool for building and versioning infrastructure safely and efficiently.,https://www.hashicorp.com/en/careers/open-positions,"infrastructure-as-code, devops, cloud, automation, terraform",Go
hashicorp/vault,,,Tool for secrets management and data protection.,https://www.hashicorp.com/en/careers/open-positions,"secrets-management, security, encryption, vault",Go
vectordotdev/vector,Vector,https://vector.dev,High-performance observability data pipeline for logs and metrics.,https://vector.dev/community/,"observability, logging, metrics, data-pipeline, rust",Rust
activepieces/activepieces,Y Combinator,https://www.ycombinator.com,"Open-source business automation tool, no-code workflow automation. Zapier alternative.",https://www.ycombinator.com/companies/activepieces/jobs,"automation, workflow, no-code, zapier-alternative",TypeScript
chatwoot/chatwoot,Chatwoot,https://www.chatwoot.com,"Open-source customer engagement platform. Alternative to Intercom, Zendesk.",https://www.chatwoot.com/careers,"customer-support, live-chat, helpdesk, intercom-alternative",Ruby
twentyhq/twenty,Twenty,https://twenty.com,Open-source CRM. Modern alternative to Salesforce.,https://twenty.com/jobs,"crm, salesforce-alternative, customer-relationship-management",TypeScript
langfuse/langfuse,Langfuse,https://langfuse.com,Open-source LLM engineering platform for observability and analytics.,https://langfuse.com/careers,"llm, observability, ai, machine-learning, developer-tools",TypeScript
huggingface/transformers,Workable,https://apply.workable.com,State-of-the-art Machine Learning for PyTorch and TensorFlow.,https://apply.workable.com/huggingface/,"machine-learning, nlp, deep-learning, pytorch, transformers",Python
backstage/backstage,Spotify,https://www.lifeatspotify.com,Open platform for building developer portals. Created by Spotify.,https://www.lifeatspotify.com/jobs,"developer-portal, platform-engineering, internal-tools, kubernetes",TypeScript
BerriAI/litellm,Y Combinator,https://www.ycombinator.com,Python SDK and Proxy Server to call 100+ LLM APIs in OpenAI format.,https://www.ycombinator.com/companies/litellm/jobs,"llm, ai, openai, api-gateway, python",Python
windmill-labs/windmill,Y Combinator,https://www.ycombinator.com,"Open-source developer platform to turn scripts into webhooks, workflows and UIs.",https://www.ycombinator.com/companies/windmill/jobs,"workflow-engine, developer-platform, automation, rust",Rust
makeplane/plane,Plane,https://plane.so,"Open-source project management tool. Alternative to Jira, Linear, and Asana.",https://plane.so/careers,"project-management, jira-alternative, issue-tracking, collaboration",TypeScript
milvus-io/milvus,Zilliz,https://zilliz.com,"High-performance, cloud-native vector database built for scalable vector ANN search.",https://zilliz.com/careers,"vector-database, ai, machine-learning, similarity-search",Go
PrefectHQ/prefect,Greenhouse,https://job-boards.greenhouse.io,"Modern workflow orchestration for data pipelines, ML workflows, and more.",https://job-boards.greenhouse.io/prefect,"workflow-orchestration, data-engineering, python, automation",Python
Kong/kong,Kong Inc.,https://konghq.com,Cloud-native API gateway and service mesh for microservices and distributed architectures.,https://konghq.com/company/careers,"api-gateway, microservices, service-mesh, cloud-native",Lua
traefik/traefik,Traefik Labs,https://traefik.io,Cloud Native Application Proxy. Edge router for microservices with automatic service discovery.,https://traefik.io/careers,"proxy, reverse-proxy, load-balancer, cloud-native, kubernetes",Go
camunda/camunda-bpm-platform,Camunda,https://camunda.com,Workflow and decision automation platform. Open-source BPMN workflow engine.,https://camunda.com/careers/,"workflow-automation, bpmn, process-orchestration, business-process-management",Java
payloadcms/payload,Payload,https://payloadcms.com,Open-source fullstack Next.js framework. TypeScript headless CMS and application framework.,https://payloadcms.com/careers,"cms, headless-cms, nextjs, typescript, content-management",TypeScript
cube-js/cube,Cube,https://cube.dev,Headless BI platform for building data applications. Universal semantic layer for metrics.,https://cube.dev/careers,"analytics, business-intelligence, semantic-layer, data-platform",TypeScript
NocoDB/nocodb,NocoDB,https://nocodb.com,Open-source Airtable alternative. Turns any database into a smart spreadsheet.,https://nocodb.com/careers,"no-code, airtable-alternative, database, spreadsheet",TypeScript
formbricks/formbricks,Formbricks,https://formbricks.com,Open-source experience management. Privacy-first surveys and feedback.,https://formbricks.com/careers,"survey, feedback, experience-management, privacy",TypeScript
ToolJet/ToolJet,ToolJet,https://tooljet.com,Open-source low-code platform to build and deploy internal tools. Retool alternative.,https://tooljet.com/careers,"low-code, internal-tools, retool-alternative, no-code",TypeScript
Budibase/budibase,Budibase,https://budibase.com,Open-source low-code platform for building internal apps in minutes.,https://budibase.com/careers,"low-code, internal-tools, app-builder, automation",TypeScript
apache/superset,Preset,https://preset.io,Modern data exploration and visualization platform. Open-source BI tool.,https://preset.io/careers,"business-intelligence, data-visualization, analytics, bi",Python
